Startzeit;Endzeit;Ladeleistung in kW;Fahrzeug ID;Fahrzeug Typ;current charge in kWh;charge remaining in kWh;Status
12:15:00;12:15:00;15,5;;;;;NONE
12:15:00;12:30:00;15,5;2;Transporter;3,87;41,56;charging
12:30:00;12:45:00;16,39;2;Transporter;4,09;37,46;charging
12:45:00;13:00:00;17,2;2;Transporter;4,3;33,16;charging
13:00:00;13:15:00;17,89;2;Transporter;4,47;28,69;charging
13:15:00;13:30:00;18,3;2;Transporter;4,57;24,11;charging
13:30:00;13:45:00;18,6;2;Transporter;4,65;19,46;charging
13:45:00;14:00:00;18,6;2;Transporter;4,65;14,81;charging
14:00:00;14:15:00;18,39;2;Transporter;4,59;10,21;charging
14:15:00;14:30:00;18,0;2;Transporter;4,5;5,71;charging
14:30:00;14:45:00;17,6;2;Transporter;4,4;1,31;charging
14:45:00;14:49:32;17,39;2;Transporter;1,31;0,0;CHARGED
14:49:32;15:00:00;17,39;8;Auto;3,03;31,96;charging
15:00:00;15:15:00;17,5;8;Auto;4,37;27,59;charging
15:15:00;15:30:00;17,7;8;Auto;4,42;23,16;charging
15:30:00;15:45:00;18,1;8;Auto;4,51;18,64;charging
15:45:00;16:00:00;18,39;8;Auto;4,59;14,04;charging
16:00:00;16:15:00;18,7;8;Auto;4,67;9,36;charging
16:15:00;16:30:00;18,89;8;Auto;4,72;4,64;charging
16:30:00;16:44:39;19,0;8;Auto;4,63;0,0;CHARGED
16:44:39;16:45:00;19,0;3;Kleinbus;0,1;31,21;charging
16:45:00;17:00:00;19,1;3;Kleinbus;4,76;26,43;charging
17:00:00;17:15:00;19,1;3;Kleinbus;4,76;21,66;charging
17:15:00;17:30:00;19,2;3;Kleinbus;4,8;16,86;charging
17:30:00;17:45:00;19,3;3;Kleinbus;4,82;12,03;charging
17:45:00;18:00:00;19,5;3;Kleinbus;4,87;7,16;charging
18:00:00;18:15:00;19,89;3;Kleinbus;4,97;2,18;charging
18:15:00;18:21:23;20,5;3;Kleinbus;2,18;0,0;CHARGED
18:21:23;18:30:00;20,5;1;Transporter;2,93;69,23;charging
18:30:00;18:45:00;21,1;1;Transporter;5,27;63,95;charging
18:45:00;19:00:00;21,7;1;Transporter;5,42;58,53;charging
19:00:00;19:15:00;22,3;1;Transporter;5,57;52,95;charging
19:15:00;19:30:00;22,9;1;Transporter;5,72;47,23;charging
19:30:00;19:45:00;23,3;1;Transporter;5,82;41,4;charging
19:45:00;20:00:00;23,7;1;Transporter;5,92;35,48;charging
20:00:00;20:15:00;23,8;1;Transporter;5,95;29,53;charging
20:15:00;20:30:00;23,9;1;Transporter;5,97;23,55;charging
20:30:00;20:45:00;24,0;1;Transporter;6,0;17,55;charging
20:45:00;21:00:00;24,1;1;Transporter;6,02;11,53;charging
21:00:00;21:15:00;24,2;1;Transporter;6,05;5,48;charging
21:15:00;21:28:32;24,3;1;Transporter;5,48;0,0;CHARGED
21:28:32;21:30:00;24,3;4;Kleinbus;0,59;12,45;charging
21:30:00;21:45:00;24,4;4;Kleinbus;6,1;6,35;charging
21:45:00;22:00:00;24,5;4;Kleinbus;6,12;0,23;charging
22:00:00;22:00:34;24,4;4;Kleinbus;0,23;0,0;CHARGED
22:00:34;22:15:00;24,4;5;Kleinbus;5,86;38,5;charging
22:15:00;22:30:00;24,2;5;Kleinbus;6,05;32,45;charging
22:30:00;22:45:00;24,0;5;Kleinbus;6,0;26,45;charging
22:45:00;23:00:00;23,7;5;Kleinbus;5,92;20,52;charging
23:00:00;23:15:00;23,3;5;Kleinbus;5,82;14,7;charging
23:15:00;23:30:00;22,9;5;Kleinbus;5,72;8,97;charging
23:30:00;23:45:00;22,8;5;Kleinbus;5,7;3,27;charging
23:45:00;23:53:37;22,8;5;Kleinbus;3,27;0,0;CHARGED
23:53:37;00:00:00;22,8;7;Auto;2,42;44,57;charging
00:00:00;00:15:00;23,3;7;Auto;5,82;38,75;charging
00:15:00;00:30:00;23,9;7;Auto;5,97;32,77;charging
00:30:00;00:45:00;24,5;7;Auto;6,12;26,65;charging
00:45:00;01:00:00;25,1;7;Auto;6,27;20,37;charging
01:00:00;01:15:00;25,3;7;Auto;6,32;14,05;charging
01:15:00;01:30:00;25,4;7;Auto;6,35;7,7;charging
01:30:00;01:45:00;25,4;7;Auto;6,35;1,35;charging
01:45:00;01:48:10;25,5;7;Auto;1,35;0,0;CHARGED
01:48:10;02:00:00;25,5;6;Kleinbus;5,01;26,29;charging
02:00:00;02:15:00;25,6;6;Kleinbus;6,4;19,89;charging
02:15:00;02:30:00;25,6;6;Kleinbus;6,4;13,49;charging
02:30:00;02:45:00;25,0;6;Kleinbus;6,25;7,24;charging
02:45:00;03:00:00;23,6;6;Kleinbus;5,9;1,34;charging
03:00:00;03:03:50;21,0;6;Kleinbus;1,34;0,0;CHARGED
03:15:00;03:30:00;17,9;;;;;NONE
03:30:00;03:45:00;14,7;;;;;NONE
03:45:00;04:00:00;12,2;;;;;NONE
04:00:00;04:15:00;10,6;;;;;NONE
04:15:00;04:30:00;9,9;;;;;NONE
04:30:00;04:45:00;9,8;;;;;NONE
04:45:00;05:00:00;9,7;;;;;NONE
05:00:00;05:15:00;9,6;;;;;NONE
05:15:00;05:30:00;9,4;;;;;NONE
05:30:00;05:45:00;9,1;;;;;NONE
05:45:00;06:00:00;8,9;;;;;NONE
06:00:00;06:15:00;8,9;;;;;NONE
06:15:00;06:30:00;8,8;;;;;NONE
06:30:00;06:45:00;8,9;;;;;NONE
06:45:00;07:00:00;8,9;;;;;NONE
07:00:00;07:15:00;9,0;;;;;NONE
07:15:00;07:30:00;9,0;;;;;NONE
07:30:00;07:45:00;9,0;;;;;NONE
07:45:00;08:00:00;8,9;;;;;NONE
08:00:00;08:15:00;8,9;;;;;NONE
08:15:00;08:30:00;8,9;;;;;NONE
08:30:00;08:45:00;9,0;;;;;NONE
08:45:00;09:00:00;9,0;;;;;NONE
09:00:00;09:15:00;9,2;;;;;NONE
09:15:00;09:30:00;9,4;;;;;NONE
09:30:00;09:45:00;9,7;;;;;NONE
09:45:00;10:00:00;10,2;;;;;NONE
10:00:00;10:15:00;10,7;;;;;NONE
10:15:00;10:30:00;11,2;;;;;NONE
10:30:00;10:45:00;11,8;;;;;NONE
10:45:00;11:00:00;12,3;;;;;NONE
11:00:00;11:15:00;12,7;;;;;NONE
11:15:00;11:30:00;13,0;;;;;NONE
11:30:00;11:45:00;13,4;;;;;NONE
11:45:00;12:00:00;14,0;;;;;NONE
12:00:00;12:15:00;14,7;;;;;NONE
